"id","ukip","libdem","cons","lab","bnp","gender1","region"
1,1,0,0,0,0,1,3
2,1,0,0,0,0,1,10
3,1,0,0,0,0,1,1
4,1,0,0,0,0,1,7
5,1,0,0,0,0,0,1
6,1,0,0,0,0,0,1
7,1,0,0,0,0,0,4
8,1,0,0,0,0,1,0
9,1,1,1,1,0,1,4
10,1,0,0,0,0,0,9
11,1,1,1,1,0,0,1
12,1,0,0,0,0,0,6
13,1,1,1,1,0,1,2
14,1,0,0,0,0,1,9
15,1,1,1,1,0,0,3
16,1,0,0,0,1,1,0
17,1,1,1,1,0,1,8
18,1,0,0,0,0,1,2
19,1,0,0,0,0,0,4
20,1,0,0,0,0,1,1
21,1,0,0,0,0,1,4
22,1,0,1,1,0,1,2
23,1,0,0,0,0,1,7
24,1,0,0,0,0,1,1
25,1,0,0,0,0,1,2
26,1,0,0,0,0,1,10
27,1,0,0,0,0,0,1
28,1,0,1,0,0,1,6
29,1,1,0,1,0,1,4
30,1,0,0,0,0,1,7
31,1,0,0,0,1,1,10
32,1,0,0,0,0,0,10
33,1,0,0,0,0,0,0
34,1,0,0,0,0,1,9
35,1,0,0,0,0,1,2
36,1,0,0,0,0,1,2
37,1,0,0,0,0,1,10
38,1,0,1,0,0,1,2
39,1,0,0,0,0,1,6
40,1,0,1,0,0,1,7
41,1,0,0,0,0,1,9
42,1,0,0,0,0,1,6
43,1,0,0,0,0,1,1
44,1,0,0,0,0,1,1
45,1,0,0,0,1,1,0
46,1,0,0,0,0,1,0
47,1,0,0,0,0,1,0
48,1,0,1,1,0,1,0
49,1,0,0,0,0,1,6
50,1,0,0,0,0,0,2
51,1,0,0,0,0,1,3
52,1,0,1,0,0,1,8
53,1,0,0,0,0,0,2
54,1,0,0,0,1,1,0
55,1,0,0,0,1,1,10
56,1,0,0,0,0,1,6
57,1,0,0,0,0,0,2
58,1,0,0,0,0,0,1
59,1,0,1,1,0,1,7
60,1,0,0,0,0,1,0
61,1,0,0,0,0,1,10
62,1,0,0,0,0,1,2
63,1,0,0,0,0,1,10
64,1,0,0,0,0,1,4
65,1,0,0,0,0,1,7
66,1,0,0,0,0,1,10
67,1,0,0,0,0,0,10
68,1,0,0,1,0,0,5
69,1,0,0,0,0,1,6
70,1,0,0,0,0,1,4
71,1,0,0,0,0,1,1
72,1,0,0,0,0,0,2
73,1,0,0,0,0,1,7
74,1,0,0,0,0,0,0
75,1,0,0,0,0,0,8
76,1,0,0,0,0,1,4
77,1,0,0,0,0,1,8
78,1,0,0,0,0,1,3
79,1,0,0,0,0,1,9
80,1,0,0,0,0,0,1
81,1,0,0,0,0,0,1
82,1,0,0,0,0,0,6
83,1,0,0,0,0,0,1
84,1,1,1,1,0,1,4
85,1,0,0,0,0,1,2
86,1,0,0,0,0,1,2
87,1,0,1,0,0,0,2
88,1,0,0,0,0,0,2
89,1,0,0,1,0,1,8
90,1,0,0,0,0,1,3
91,1,0,0,0,0,1,0
92,1,0,0,0,0,0,2
93,1,0,0,0,0,1,10
