Date,BNP,UKIP,Conservative,Labour,LibDem
26/03/2014,6804,39154,106146,127948,59853
27/03/2014,6809,39644,106239,128096,60017
28/03/2014,6812,39895,106304,128272,60094
29/03/2014,6815,39988,106394,128414,60174
30/03/2014,6816,40046,106475,128594,60258
31/03/2014,6820,40097,106513,128689,60295
01/04/2014,6828,40280,106585,128837,60365
02/04/2014,6826,40424,106662,128943,60432
03/04/2014,6835,41478,106797,129144,60600
04/04/2014,6833,41804,106883,129293,60663
05/04/2014,6837,42002,106957,129408,60713
06/04/2014,6847,42155,107012,129515,60754
07/04/2014,6854,42382,107107,129731,60850
08/04/2014,6856,42397,107123,129756,60866
09/04/2014,6856,42454,107193,129865,60914
10/04/2014,6849,42559,107257,130000,60970
11/04/2014,6853,42644,107295,130096,61015
12/04/2014,6859,42783,107339,130193,61058
13/04/2014,6859,42868,107397,130328,61092
14/04/2014,6864,42952,107436,130464,61133
15/04/2014,6863,43024,107483,130607,61186
16/04/2014,6857,43136,107534,130764,61234
17/04/2014,6858,43210,107570,130921,61265
18/04/2014,6867,43286,107619,131074,61318
19/04/2014,6866,43331,107659,131189,61357
20/04/2014,6868,43382,107699,131269,61387
21/04/2014,6875,43457,107759,131379,61436
22/04/2014,6873,43619,107813,131483,61477
23/04/2014,6878,44101,107903,131611,61553
24/04/2014,6881,44459,107970,131746,61619
25/04/2014,6881,44725,108046,131893,61681
26/04/2014,6885,44980,108119,132014,61750
27/04/2014,6892,45152,108172,132114,61794
28/04/2014,6892,45501,108245,132241,61855
29/04/2014,6897,45765,108358,132421,61923
30/04/2014,6952,46086,108420,132546,61981
01/05/2014,6971,46538,108510,132742,62049
02/05/2014,7036,47076,108604,132952,62130
03/05/2014,7198,47409,108677,133110,62193
04/05/2014,7295,47616,108759,133216,62239
05/05/2014,7294,47841,108846,133309,62300
06/05/2014,7308,48021,108939,133427,62361
07/05/2014,7307,48273,109003,133591,62415
08/05/2014,7321,48500,109105,133808,62475
09/05/2014,7333,48945,109227,133983,62527
10/05/2014,7351,49190,109301,134122,62565
11/05/2014,7362,49491,109372,134258,62614
12/05/2014,7380,49751,109462,134424,62688
13/05/2014,7406,49999,109545,134624,62749
14/05/2014,7454,50231,109644,134793,62840
15/05/2014,7471,50450,109757,135004,62940
16/05/2014,7488,50625,109902,135184,63066
18/05/2014,7526,50968,110057,135462,63201
19/05/2014,7526,51210,110136,135600,63255
20/05/2014,7534,51615,110260,135819,63363
21/05/2014,7562,52046,110356,136037,63461
22/05/2014,7567,52862,110539,136282,63564
23/05/2014,7599,54762,110928,136979,63823
24/05/2014,7620,56567,111212,137614,64044
25/05/2014,7646,56964,111323,137851,64125
26/05/2014,7692,57949,111505,138139,64276
27/05/2014,7714,60109,111877,138689,64578
28/05/2014,7741,60677,112004,138977,64743
29/05/2014,7747,61077,112121,139162,64843
30/05/2014,7759,61395,112235,139329,64933
31/05/2014,7765,61589,112348,139450,64998
01/06/2014,7771,61758,112447,139594,65076
02/06/2014,7776,61948,112520,139714,65131
03/06/2014,7779,62023,112593,139844,65195
04/06/2014,7789,62109,112671,139944,65281
05/06/2014,7792,62183,112766,140078,65334
06/06/2014,7790,62208,112822,140176,65354
07/06/2014,7790,62247,112897,140252,65394
08/06/2014,7798,62168,112966,140372,65449
09/06/2014,7799,62181,113021,140477,65487
10/06/2014,7805,62192,113070,140597,65590
11/06/2014,7803,62196,113162,140755,65630
12/06/2014,7799,62210,113314,140878,65676
13/06/2014,7800,62281,113386,141007,65719
14/06/2014,7801,62349,113458,141102,65760
15/06/2014,7803,62403,113492,141182,65790
16/06/2014,7812,62466,113543,141259,65805
17/06/2014,7815,62491,113609,141355,65852
18/06/2014,7812,62509,113672,141478,65905
19/06/2014,7820,62525,113736,141560,65954
20/06/2014,7820,62562,113809,141701,65992
21/06/2014,7824,62569,113889,141800,66038
22/06/2014,7829,62590,113943,141875,66062
23/06/2014,7831,62592,113988,141964,66100
24/06/2014,7834,62623,114037,142090,66133
25/06/2014,7832,62642,114099,142198,66186
26/06/2014,7832,62629,114140,142308,66242
27/06/2014,7828,62603,114193,142413,66279
28/06/2014,7829,62629,114282,142497,66330
29/06/2014,7833,62661,114340,142577,66356
30/06/2014,7838,62662,114392,142651,66387
01/07/2014,7837,62680,114455,142731,66429
02/07/2014,7840,62676,114530,142828,66489
03/07/2014,7843,62693,114588,142950,66543
13/07/2014,7848,62659,115074,144064,66869
14/07/2014,7845,62652,115120,144151,66892
15/07/2014,7847,62667,115206,144282,66937
16/07/2014,7842,62653,115354,144472,67023
17/07/2014,7839,62620,115466,144635,67113
18/07/2014,7841,62605,115567,144780,67195
19/07/2014,7838,62606,115629,144886,67232
20/07/2014,7840,62612,115708,144970,67282
21/07/2014,7842,62602,115778,145121,67346
22/07/2014,7850,62567,115820,145245,67405
23/07/2014,7850,62539,115865,145371,67433
24/07/2014,7847,62473,115938,145477,67488
25/07/2014,7851,62470,116002,145560,67545
26/07/2014,7849,62458,116086,145861,67600
27/07/2014,7853,62466,116129,145939,67638
28/07/2014,7849,62462,116203,146055,67698
29/07/2014,7849,62467,116278,146116,67754
30/07/2014,7846,62464,116363,146263,67804
31/07/2014,7852,62437,116453,146378,67847
01/08/2014,7851,62454,116517,146505,67907
02/08/2014,7850,62468,116560,146607,67940
03/08/2014,7848,62479,116601,146646,67967
04/08/2014,7842,62474,116632,146716,67999
05/08/2014,7842,62482,116681,146784,68037
06/08/2014,7846,62482,116788,146975,68148
07/08/2014,7847,62485,116862,147076,68200
08/08/2014,7850,62478,116949,147200,68275
09/08/2014,7851,62496,117007,147314,68340
10/08/2014,7850,62505,117059,147438,68405
11/08/2014,7852,62519,117142,147553,68468
12/08/2014,7853,62506,117192,147640,68519
13/08/2014,7859,62504,117234,147728,68569
14/08/2014,7854,62474,117341,147829,68620
